Subj,Age,Attrition,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,DistanceFromHome,PerformanceRating,Education,JobInvolvement,JobLevel,StockOptionLevel,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction
2,49,No,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Married,No,5130,279,61,24907,8,4,1,2,2,1,1,23,10,3,3,10,7,1,7,3,2,4
4,33,No,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Married,Yes,2909,1392,56,23159,3,3,4,3,1,0,1,11,8,3,3,8,7,3,0,4,3,3
5,27,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,No,3468,591,40,16632,2,3,1,3,1,1,9,12,6,3,3,2,2,2,2,1,2,4
6,32,No,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Single,No,3068,1005,79,11864,2,3,2,3,1,0,0,13,8,2,2,7,7,3,6,4,4,3
7,59,No,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,Yes,2670,1324,81,9964,3,4,3,4,1,3,4,20,12,3,2,1,0,0,0,3,1,1
8,30,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,No,2693,1358,67,13335,24,4,1,3,1,1,1,22,1,2,3,1,0,0,0,4,3,2
9,38,No,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,No,9526,216,44,8787,23,4,3,2,3,0,0,21,10,2,3,9,7,1,8,4,3,2
10,36,No,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,No,5237,1299,94,16577,27,3,3,3,2,2,6,13,17,3,2,7,7,7,7,3,3,2
11,35,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,No,2426,809,84,16479,16,3,3,4,1,1,0,13,6,5,3,5,4,0,3,1,2,3
12,29,No,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,Yes,4193,153,49,12682,15,3,2,2,2,0,0,12,10,3,3,9,5,0,8,4,3,4
13,31,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,2911,670,31,15170,26,3,1,3,1,1,1,17,5,1,2,5,2,4,3,1,3,4
14,34,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,No,2661,1346,93,8758,19,3,2,3,1,1,0,11,3,2,3,2,2,1,2,2,4,3
16,29,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Divorced,No,9980,1389,51,10195,21,3,4,4,3,1,1,11,10,1,3,10,9,8,8,2,1,3
17,32,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,Yes,3298,334,80,15053,5,3,2,4,1,2,0,12,7,5,2,6,2,0,5,1,2,4
18,22,No,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Divorced,Yes,2935,1123,96,7324,16,3,2,4,1,2,1,13,1,2,2,1,0,0,0,4,4,2
